"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.00064441079166136,0.00105218386592131,0.00159302252354554,0.00209529384107953,0.00360441551768145,0.00575663492356343,0.00723212004396738,0.0109291658143061
2004,0.000585087009322933,0.00110195040380593,0.00162903957425965,0.00240037975561031,0.00349526977511465,0.00600299821741302,0.00714107684900288,0.0105002814595147
2005,0.00057817339738475,0.00101594810046328,0.00160438472724038,0.00211493216592063,0.00335093437206483,0.00548221724211355,0.00706963180931453,0.0109810633641264
2006,0.000554387951418598,0.00103290627471451,0.00163483515431649,0.00198199332330704,0.00325571299851084,0.00522314718437132,0.00718329336975692,0.0103417161718586
2007,0.000530527292209925,0.000952860423049045,0.00135016851868552,0.00198976510441304,0.0031061696237113,0.00480403883431133,0.00714854075204978,0.00963737118217305
2008,0.000514618939051246,0.00096805122950916,0.00152228063617425,0.00234553100664371,0.00331339696762308,0.00502782925869612,0.00685910581227478,0.0104500832441706
2009,0.000466038934392991,0.000818719120206874,0.00157201831382254,0.00198118947535428,0.00307846929867462,0.00520391586064829,0.00629988435974346,0.00966972596325794
2010,0.000471742776375275,0.000851818855577423,0.00155009243809592,0.00225445650041549,0.00311706509229884,0.00539474639827683,0.0065589802745816,0.0098730657588386
2011,0.000557144764783629,0.000845355806749369,0.0016573845519697,0.00239404387434185,0.00361940548912799,0.00532553283812754,0.00784747419297343,0.0119498247895288
2012,0.000486168576125967,0.000907308822223602,0.00161436057619556,0.00244081801149015,0.00349777957466543,0.00550222969938606,0.00729351307978815,0.0103311383464874
2013,0.000543478928054636,0.000902854658586352,0.00168973675330387,0.00237958711177987,0.00359318082683952,0.00551423388844802,0.00728779606849605,0.01153969815467
2014,0.000493757592354224,0.000924283596032516,0.00159645709197659,0.00251647607882639,0.00388916919474909,0.00531912058199614,0.00681638606275911,0.013364159885579
2015,0.000484698195168211,0.000819665549598563,0.00141843625716731,0.00254869729251211,0.00360762767531646,0.00517186877010238,0.0071927564472698,0.0111508414027628
2016,0.000599797570904612,0.000910746325966802,0.00137918754238949,0.00252338987883529,0.00392432932864074,0.00556087141285499,0.00767279103724693,0.0122024834537487
2017,0.000613517730644396,0.000905651782594257,0.0014299891111791,0.00270839258843688,0.00392768744541379,0.00531506623533004,0.00719398108386317,0.0118134961704226
2018,0.000599057204754548,0.000883175489509985,0.00131584492132465,0.00241295177795962,0.00386009677131614,0.005293066074089,0.00709889510639281,0.0110269907852885
2019,0.000693335661650401,0.000904946125405405,0.00138337219468073,0.00226662234265894,0.00380447484234693,0.00518120363236864,0.00721099150549682,0.0111548312978377
