"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000257127019715854,0.000489581263821166,0.000783225237842604,0.00123416260453496,0.00209028395633678,0.00361962115656335,0.00613414606755688,0.0106063285901167
2004,0.000256664868194985,0.000474208932494547,0.000790200300308301,0.00122214607490702,0.00199147187237547,0.00345581471445802,0.00589860975439901,0.0102345069404814
2005,0.000252986566931947,0.000464477794687369,0.000782154721351107,0.00123968541471503,0.00194907580147513,0.00342202834728581,0.00575939299753177,0.0100493352919993
2006,0.00024891681621378,0.000473031046088226,0.000797621649904328,0.00122680875527788,0.00194044905212832,0.00333418850773106,0.00547065340132161,0.0095852817585221
2007,0.000245647867209999,0.000446488519171868,0.000760945929519755,0.00122872438030932,0.00186130188286985,0.00314587997326421,0.00526283712501964,0.00918885507578395
2008,0.00024257964482776,0.000451295249901375,0.000766549539789061,0.0012154282489292,0.00183545280995993,0.00315419777493021,0.00514532748375545,0.00907083035440711
2009,0.000242417317477006,0.000448649364454477,0.000764042971608008,0.00121634964995081,0.00182280358451862,0.00297698144554594,0.00496373370404368,0.00865544294975177
2010,0.000253631677426513,0.000454020413115735,0.000790493484689697,0.00123926799446885,0.00185035229292901,0.00300504090005833,0.0050391109141697,0.00863288491949212
2011,0.000258857592766617,0.000446320779564805,0.000782129033898056,0.00124967668779408,0.00189634374239602,0.00300857184592988,0.00497017512872877,0.00851836971615233
2012,0.000265698895908676,0.000439143323404135,0.000780599329554645,0.00123213939246518,0.0019189336940109,0.00299345115873234,0.00483895687839335,0.00829325704479932
2013,0.00026392475123948,0.000449706190049896,0.000786242125792579,0.00128206690952656,0.00193671212165538,0.00300543508874319,0.004863876729775,0.00828895256494722
2014,0.000274304514558321,0.000470793404367153,0.000781504464128964,0.00129992971325485,0.00200602450336607,0.00304050107060625,0.0047578098768804,0.00815216070636418
2015,0.000270897041025262,0.000466168014130176,0.000787625316830853,0.00129668910459871,0.0019884943153978,0.00303933149414709,0.00473461864011836,0.00812935194481329
2016,0.00029530282915688,0.000482638047296712,0.000803060596338601,0.00133140780366235,0.00206309094386876,0.00312722369764262,0.00489632384699698,0.00836236406786252
2017,0.000296101643000717,0.000483586268462912,0.000789869045381963,0.00133489495263825,0.00211444411007136,0.00320860058048302,0.00496150165115128,0.00827518018490623
2018,0.000301284601756367,0.000486800682288525,0.000803833021342039,0.00131828048647524,0.0020972952787628,0.00321051200132558,0.00490289656789498,0.00825436340561843
2019,0.000309354094430337,0.00049159500360533,0.000799685364603363,0.00130270857873839,0.00208528385394502,0.00329728020606554,0.00492501215338534,0.00816969804530343
