"year","Female","Male"
2003,0.00436520961215995,0.00699503722695667
2004,0.00427135835046636,0.00676978233761201
2005,0.00409813738106282,0.00651970213778201
2006,0.00389622109086277,0.00617358842359221
2007,0.00371083049474047,0.00574042228059414
2008,0.00386893958455304,0.0059534540929918
2009,0.00358111722171652,0.0056741048295512
2010,0.00367025599863488,0.00581573602582485
2011,0.00408174652074418,0.00624522950729094
2012,0.00394451317702809,0.00600917175844453
2013,0.00412008250941732,0.00614770373974403
2014,0.00416168430725398,0.00594678144169235
2015,0.00393733609630642,0.00595423337823185
2016,0.00414176426338619,0.00610288991682946
2017,0.00414898408064897,0.00627041332994932
2018,0.00403258613435267,0.00634918932548325
2019,0.00398891060751112,0.00610408862776874
