"year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
2003,0.000595484419457858,0.00112385632727688,0.00189961587015066,0.00307813172948231,0.00463308904139831,0.00750351277717409,0.0112966141828433,0.0181490448902176
2004,0.000576244133960685,0.00103421591733594,0.00184689122410288,0.00296731574900531,0.00441367336121765,0.00698954118420882,0.010723798639761,0.0174783270644721
2005,0.00054932838975252,0.00101680526262961,0.00170850528348546,0.00298545415695835,0.00434099292579368,0.00691074408201273,0.00994538169282107,0.0164052740185615
2006,0.000549764689759348,0.000991696983715728,0.00169476869637612,0.00287316857540285,0.0043224671122072,0.00643118853969238,0.00967244774099546,0.0151728515804579
2007,0.000553000839322092,0.000983290792696735,0.00167353121176662,0.00271529692062376,0.00427951091478053,0.0063338153405541,0.00930631401073794,0.0144693405398191
2008,0.000537212543576399,0.000935402497090442,0.00157787144328208,0.00263006502336303,0.00419664216364453,0.00614832030764906,0.00936755428749053,0.014789291423518
2009,0.000532685353490604,0.00093545535143646,0.0015220969137149,0.00249960699969534,0.00405831517093444,0.00615057668654905,0.00901490126346983,0.013854993413058
2010,0.000533627826875555,0.000894496910457548,0.00153471848794084,0.00247250372212975,0.0040030944055347,0.00621686355918076,0.00905686507834043,0.0134765749530657
2011,0.000567993302269832,0.000962530948353059,0.00169044404724498,0.00273986207319478,0.00430842332312899,0.00614995067149518,0.00892369154759591,0.0140560412416098
2012,0.000574387306633008,0.000940798361973797,0.00165684636941432,0.00271248940568848,0.00414709865500627,0.00611077272876853,0.00908003534620657,0.0138146158455699
2013,0.000568033670587147,0.000969879632482614,0.00165331573222955,0.00272260437846708,0.00409850871994135,0.00613675102772819,0.00906481663822266,0.0141841231644866
2014,0.000562738179054885,0.000979084362921639,0.00165741966801017,0.00262859291823387,0.00402894503682063,0.00632623555219443,0.00863914112386296,0.0140923168792027
2015,0.000568372667843688,0.000938677754085657,0.00155913233481914,0.00258915896235028,0.00404259959519376,0.00600020491603541,0.00865838969753645,0.0133046318215978
2016,0.000622249412123487,0.000996915697944601,0.00165468113872657,0.00259357333430946,0.00411340319425081,0.00621118152658769,0.00944873982267732,0.0140400109234793
2017,0.000632793321546943,0.00103539665056447,0.00157947950880789,0.00257573604461354,0.00397668050570468,0.00630242972263509,0.0095635123992576,0.0145364375227666
2018,0.000649957905036848,0.000999433760746902,0.00158302635128995,0.00257512573482947,0.00408098686224721,0.00644285712553585,0.00949811989254378,0.0136068139892522
2019,0.000630499718272705,0.00103750088596004,0.00160915111108652,0.00258460847232575,0.00425615289364036,0.006256154906234,0.00936617187555173,0.0137104182252961
